Vgs,Igs,Vds,Ids
1.0,0.001,0.0,0.0
1.0,0.001,0.004,0.0
1.0,0.001,0.009,0.001
1.0,0.001,0.014,0.001
1.0,0.001,0.019,0.001
1.0,0.001,0.024,0.001
1.0,0.001,0.029,0.001
1.0,0.001,0.034,0.001
1.0,0.001,0.039,0.001
1.0,0.001,0.044,0.001
1.0,0.001,0.049,0.001
1.0,0.001,0.054,0.001
1.0,0.001,0.059,0.001
1.0,0.001,0.064,0.001
1.0,0.001,0.069,0.0
1.0,0.001,0.074,0.0
1.0,0.001,0.079,0.0
1.0,0.001,0.084,0.0
1.0,0.001,0.089,0.0
1.0,0.001,0.094,0.0
1.0,0.001,0.099,0.0
1.0,0.001,0.104,0.0
1.0,0.001,0.109,0.0
1.0,0.001,0.114,0.0
1.0,0.001,0.119,0.0
1.0,0.001,0.124,0.0
1.0,0.001,0.129,0.0
1.0,0.001,0.134,0.0
1.0,0.001,0.139,0.0
1.0,0.001,0.144,0.0
1.0,0.001,0.149,0.0
1.0,0.001,0.154,0.0
1.0,0.001,0.159,0.0
1.0,0.001,0.164,0.0
1.0,0.001,0.169,0.0
1.0,0.001,0.174,0.0
1.0,0.001,0.179,0.0
1.0,0.001,0.184,0.0
1.0,0.001,0.189,0.0
1.0,0.001,0.194,0.0
1.0,0.001,0.199,0.0
1.0,0.001,0.204,0.0
1.0,0.001,0.209,0.0
1.0,0.001,0.214,0.0
1.0,0.001,0.219,0.0
1.0,0.001,0.224,0.0
1.0,0.001,0.229,0.0
1.0,0.001,0.234,0.0
1.0,0.001,0.239,0.0
1.0,0.001,0.244,0.0
1.0,0.001,0.249,0.0
1.0,0.001,0.254,0.0
1.0,0.001,0.259,0.0
1.0,0.001,0.264,0.0
1.0,0.001,0.269,0.0
1.0,0.001,0.274,0.0
1.0,0.001,0.279,0.0
1.0,0.001,0.284,0.0
1.0,0.001,0.289,0.0
1.0,0.001,0.294,0.0
1.0,0.001,0.299,0.0
1.0,0.001,0.304,0.0
1.0,0.001,0.31,0.0
1.0,0.001,0.314,0.0
1.0,0.001,0.319,0.0
1.0,0.001,0.324,0.0
1.0,0.001,0.329,0.0
1.0,0.001,0.334,0.0
1.0,0.001,0.339,0.0
1.0,0.001,0.344,0.0
1.0,0.001,0.349,0.0
1.0,0.001,0.354,0.0
1.0,0.001,0.359,0.0
1.0,0.001,0.364,0.0
1.0,0.001,0.37,0.0
1.0,0.001,0.375,0.0
