Vgs_1.6,Ids_1.6,Vgs_1.6500000000000001,Ids_1.6500000000000001,Vgs_1.7000000000000002,Ids_1.7000000000000002,Vgs_1.7500000000000002,Ids_1.7500000000000002,Vgs_1.8000000000000003,Ids_1.8000000000000003,Vgs_1.8500000000000003,Ids_1.8500000000000003,Vgs_1.9000000000000004,Ids_1.9000000000000004,Vgs_1.9500000000000004,Ids_1.9500000000000004,Vgs_2.0000000000000004,Ids_2.0000000000000004,Vgs_2.0500000000000007,Ids_2.0500000000000007,Vgs_2.1000000000000005,Ids_2.1000000000000005,Vgs_2.1500000000000004,Ids_2.1500000000000004,Vgs_2.2000000000000006,Ids_2.2000000000000006
1.599,0.0,1.65,0.0,1.7,0.0,1.749,0.0,1.8,0.0,1.85,0.0,1.899,0.0,1.95,0.0,2.0,0.0,2.049,0.0,2.099,0.0,2.15,0.0,2.199,0.0
1.6,0.0,1.65,0.001,1.7,0.001,1.749,0.001,1.8,0.002,1.85,0.003,1.899,0.004,1.95,0.006,2.0,0.008,2.049,0.01,2.099,0.013,2.15,0.016,2.199,0.019
1.6,0.001,1.65,0.001,1.7,0.001,1.749,0.002,1.8,0.003,1.85,0.006,1.899,0.008,1.95,0.012,2.0,0.017,2.049,0.023,2.099,0.029,2.15,0.036,2.199,0.042
1.599,0.0,1.65,0.001,1.7,0.002,1.749,0.003,1.8,0.005,1.85,0.008,1.899,0.012,1.95,0.018,2.0,0.025,2.049,0.034,2.099,0.044,2.15,0.054,2.199,0.064
1.6,0.001,1.65,0.001,1.699,0.002,1.749,0.004,1.8,0.006,1.85,0.01,1.899,0.016,1.95,0.023,2.0,0.033,2.049,0.045,2.099,0.059,2.15,0.072,2.199,0.086
1.6,0.001,1.65,0.002,1.7,0.003,1.749,0.004,1.8,0.007,1.85,0.012,1.899,0.019,1.95,0.028,2.0,0.041,2.049,0.055,2.099,0.072,2.15,0.09,2.199,0.107
1.599,0.0,1.65,0.002,1.7,0.003,1.749,0.005,1.8,0.008,1.85,0.014,1.899,0.022,1.95,0.033,2.0,0.047,2.049,0.065,2.099,0.085,2.15,0.107,2.199,0.128
1.6,0.001,1.65,0.002,1.699,0.003,1.749,0.006,1.8,0.009,1.85,0.015,1.899,0.024,1.95,0.037,2.0,0.054,2.049,0.074,2.099,0.098,2.15,0.123,2.199,0.148
1.599,0.001,1.65,0.002,1.699,0.003,1.749,0.006,1.8,0.01,1.85,0.017,1.899,0.027,1.95,0.041,2.0,0.06,2.049,0.083,2.099,0.11,2.15,0.138,2.199,0.167
1.599,0.0,1.65,0.002,1.7,0.004,1.749,0.006,1.8,0.011,1.85,0.018,1.899,0.029,1.95,0.045,2.0,0.065,2.049,0.091,2.099,0.121,2.15,0.154,2.199,0.187
1.6,0.001,1.65,0.002,1.699,0.004,1.749,0.007,1.8,0.011,1.85,0.019,1.899,0.031,1.95,0.048,2.0,0.07,2.049,0.098,2.099,0.131,2.15,0.167,2.199,0.203
1.599,0.001,1.65,0.002,1.699,0.004,1.749,0.007,1.8,0.012,1.85,0.02,1.899,0.032,1.95,0.051,2.0,0.075,2.049,0.105,2.099,0.141,2.15,0.18,2.199,0.221
1.6,0.001,1.65,0.002,1.7,0.004,1.749,0.007,1.8,0.013,1.85,0.021,1.899,0.034,1.95,0.053,2.0,0.079,2.049,0.112,2.099,0.151,2.15,0.194,2.199,0.238
1.6,0.001,1.65,0.002,1.7,0.004,1.749,0.008,1.8,0.013,1.85,0.022,1.899,0.036,1.95,0.056,2.0,0.083,2.049,0.118,2.099,0.16,2.15,0.207,2.199,0.255
1.599,0.0,1.65,0.003,1.7,0.004,1.749,0.008,1.8,0.014,1.85,0.023,1.899,0.037,1.95,0.058,2.0,0.087,2.049,0.124,2.099,0.169,2.15,0.219,2.199,0.271
1.6,0.002,1.65,0.003,1.7,0.004,1.749,0.008,1.8,0.014,1.85,0.023,1.899,0.038,1.95,0.06,2.0,0.091,2.049,0.13,2.099,0.177,2.15,0.231,2.199,0.286
1.599,0.002,1.65,0.003,1.7,0.005,1.749,0.008,1.8,0.014,1.85,0.024,1.899,0.039,1.95,0.063,2.0,0.094,2.049,0.135,2.099,0.185,2.15,0.242,2.199,0.301
1.599,0.0,1.65,0.003,1.7,0.005,1.749,0.008,1.8,0.015,1.85,0.025,1.899,0.041,1.95,0.064,2.0,0.097,2.049,0.14,2.099,0.193,2.15,0.253,2.199,0.316
1.6,0.002,1.65,0.003,1.7,0.005,1.749,0.008,1.8,0.015,1.85,0.025,1.899,0.042,1.95,0.066,2.0,0.1,2.049,0.145,2.099,0.2,2.15,0.263,2.199,0.33
1.599,0.002,1.65,0.003,1.7,0.005,1.749,0.009,1.8,0.015,1.85,0.026,1.899,0.042,1.95,0.068,2.0,0.103,2.049,0.149,2.099,0.207,2.15,0.273,2.199,0.343
1.599,0.0,1.65,0.003,1.7,0.005,1.749,0.009,1.8,0.015,1.85,0.026,1.899,0.043,1.95,0.069,2.0,0.105,2.049,0.153,2.099,0.213,2.15,0.282,2.199,0.356
1.6,0.002,1.65,0.003,1.7,0.005,1.749,0.009,1.8,0.016,1.85,0.027,1.899,0.044,1.95,0.07,2.0,0.107,2.049,0.157,2.099,0.219,2.15,0.291,2.199,0.369
1.6,0.002,1.65,0.003,1.7,0.005,1.749,0.009,1.8,0.016,1.85,0.027,1.899,0.045,1.95,0.072,2.0,0.11,2.049,0.16,2.099,0.224,2.15,0.299,2.199,0.38
1.599,0.002,1.65,0.003,1.699,0.005,1.749,0.009,1.8,0.016,1.85,0.027,1.899,0.045,1.95,0.073,2.0,0.112,2.049,0.164,2.099,0.23,2.15,0.307,2.199,0.392
1.599,0.0,1.65,0.003,1.699,0.005,1.749,0.009,1.8,0.016,1.85,0.028,1.899,0.046,1.95,0.074,2.0,0.114,2.049,0.167,2.099,0.235,2.15,0.315,2.199,0.404
1.6,0.002,1.65,0.003,1.699,0.005,1.749,0.009,1.8,0.016,1.85,0.028,1.899,0.047,1.95,0.075,2.0,0.115,2.049,0.17,2.099,0.24,2.15,0.323,2.199,0.414
1.599,0.002,1.65,0.003,1.699,0.005,1.749,0.009,1.8,0.016,1.85,0.028,1.899,0.047,1.95,0.076,2.0,0.117,2.049,0.173,2.099,0.244,2.15,0.33,2.199,0.424
1.599,0.0,1.65,0.003,1.699,0.005,1.749,0.009,1.8,0.017,1.85,0.029,1.899,0.048,1.95,0.077,2.0,0.119,2.049,0.175,2.099,0.249,2.15,0.336,2.199,0.434
